run_label,target_id,condition,condition_name,attempt,status,test_path,same_test,test_sha256,oracle_status,applicability,hypothesis,trigger,potential_failure,expected_behavior,target_evidence,historical_evidence,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,hypothesis_matches_true_failure_mechanism,failure_category,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log
exploratory,PySnooper:1,A,TARGET_ONLY,1,TEST,generated_tests/experiment2_run1/PySnooper_1/A_attempt_1.py,True,af4ee057ad5ab8bb847c127ce9094a3d5f4f64824a72bf162fcefc87c1208b99,SUPPORTED_ORACLE,,"When a Tracer is used as a context manager inside a generator function, the generator's frame is added to self.target_frames on __enter__ but is never removed on __exit__ (because __exit__ discards the caller's frame, which is the generator frame only if the with block is directly in the generator body). If the with block is inside a nested function called by the generator, the generator frame remains in target_frames, causing the tracer to continue tracing the generator's subsequent lines even after the with block has exited.","Define a generator function that calls a helper function containing a `with pysnooper.snoop(string_io):` block. After the with block exits, the generator yields a value. The tracer should not emit any output for lines executed after the with block in the generator, but due to the stale target_frames entry it will.","The tracer incorrectly traces lines in the generator frame after the with block has exited, producing extra output lines that should not appear.","After the with block exits, no further tracing output should be produced for the generator's frame. The output should only contain entries for the lines executed inside the with block.","In tracer.py, __enter__ adds calling_frame to self.target_frames, and __exit__ discards calling_frame (the frame of the code calling __exit__, i.e., the frame containing the with statement). If the with statement is in a helper function, the generator frame is never added to target_frames, so it should not be traced. However, the trace function checks `frame in self.target_frames`; if the generator frame was added by a previous __enter__ (e.g., if the with block is directly in the generator), it would be removed by __exit__. The bug arises when the with block is in a nested function: the generator frame is not the calling frame, so it is not added, but the trace function may still trace it if it was added earlier. This test probes the cleanup logic.",,0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,15272,693,3.63,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_1_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_1_fixed.log
exploratory,PySnooper:1,A,TARGET_ONLY,2,TEST,generated_tests/experiment2_run1/PySnooper_1/A_attempt_2.py,True,6dd79b0a3b7de7f86d539455eccb733726c4bd0043e4c87708b82702a92f2183,SUPPORTED_ORACLE,,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the wrapped block raises an exception, the Tracer.__exit__ method fails to restore the previous sys.settrace value because it accesses self.thread_local.original_trace_functions, which is only set on the Tracer instance's thread-local object during __enter__; however, if the Tracer instance is reused across threads or if __enter__ was not called on the same thread, this attribute may be missing, causing an AttributeError. More concretely, the bug is that __exit__ does not handle the case where the original trace function stack is empty or missing, leading to an AttributeError when the context manager is used improperly or when an exception occurs before __enter__ completes. But the strongest falsifiable claim from the source is: Tracer.__exit__ assumes self.thread_local.original_trace_functions exists, but if the Tracer is used as a context manager and an exception is raised inside the with block, the __exit__ method should still restore the original trace function; however, due to the way thread_local is used, if the Tracer instance is shared across threads, the original_trace_functions list may be empty on the thread that did not call __enter__, causing an IndexError when popping. This is a real bug: using a single Tracer instance as a context manager in multiple threads concurrently can cause an IndexError in __exit__ because the thread-local stack is empty for threads that did not enter the context. The test will create a Tracer, use it in a with block in the main thread, and simultaneously in another thread, and assert that no exception is raised and the original trace function is restored.","Create a single pysnooper.snoop() Tracer instance. In the main thread, enter the with block, and inside it start a new thread that also tries to enter the same Tracer instance as a context manager. The new thread's __enter__ will append to its own thread-local stack, but the main thread's __exit__ will pop from the main thread's stack. However, the bug is that if the new thread's __enter__ is called, it sets sys.settrace to the tracer's trace function, and when the new thread exits, it pops its own stack. The main thread's __exit__ should work fine. The actual bug is that if the Tracer instance is used as a context manager in a thread that did not call __enter__ (e.g., if __exit__ is called manually or if the context manager is used in a different thread), it will fail. But a more direct trigger: use the Tracer as a context manager, and inside the with block, raise an exception. The __exit__ method should restore the original trace function. However, the code in __exit__ does: stack = self.thread_local.original_trace_functions; sys.settrace(stack.pop()). If the Tracer instance is used as a context manager in a thread, and then the same Tracer instance is used as a context manager in a different thread, the second thread's __enter__ will set its own thread-local stack, but the first thread's __exit__ will try to pop from its own stack, which is fine. The bug is that if the Tracer instance is used as a context manager and the with block is exited in a different thread than it was entered, the thread-local stack will be empty, causing an IndexError. This is a real scenario in asynchronous or multi-threaded code. The test will enter the with block in the main thread, then exit it in a new thread by calling __exit__ manually, and assert that the original trace function is restored without error.","An IndexError or AttributeError is raised when exiting the context manager in a different thread than it was entered, because the thread-local stack is empty. This means the original trace function is not restored, and the exception propagates, potentially leaving the tracing state corrupted.","The Tracer context manager should correctly restore the previous sys.settrace value even if __exit__ is called from a different thread than __enter__, or at least raise a clear error. However, the intended behavior is that the context manager is thread-local and should not be used across threads. The test will assert that using the Tracer as a context manager in a single thread works correctly and restores the trace function, and that using it in multiple threads concurrently does not raise an exception. The specific assertion is that after the with block, sys.gettrace() is the same as before.","In pysnooper/tracer.py, Tracer.__enter__ does: stack = self.thread_local.__dict__.setdefault('original_trace_functions', []); stack.append(sys.gettrace()); sys.settrace(self.trace). Tracer.__exit__ does: stack = self.thread_local.original_trace_functions; sys.settrace(stack.pop()). This assumes that __exit__ is called in the same thread as __enter__, because thread_local is per-thread. If __exit__ is called in a different thread, self.thread_local.original_trace_functions will not exist, causing an AttributeError. The ordinary tests do not cover this cross-thread usage. The README mentions thread_info but not cross-thread context manager usage.",,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,no,WRONG_MECHANISM,0,1,15272,1560,7.561,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_2_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_2_fixed.log
exploratory,PySnooper:1,A,TARGET_ONLY,3,TEST,generated_tests/experiment2_run1/PySnooper_1/A_attempt_3.py,True,6c4cd0b457ed3943c0d55f1dac42ca57fc937cf75248c1cbeb86ae9f4c1ccae5,SUPPORTED_ORACLE,,"When a generator function decorated with @pysnooper.snoop() is closed early via GeneratorExit (e.g., by breaking out of a for loop), the tracer's generator_wrapper does not restore the original sys.gettrace() trace function, leaving PySnooper's trace function installed globally.","Decorate a generator function with pysnooper.snoop(io.StringIO()), start iterating it, then break out of the loop so the generator is garbage-collected/closed. After that, check sys.gettrace().","sys.gettrace() remains the Tracer.trace bound method instead of the original trace function (None), because generator_wrapper's `with self:` block is exited via GeneratorExit without the wrapper catching it and restoring the trace stack.","After a snooped generator is closed early, sys.gettrace() should be restored to its original value (None in a normal pytest run), matching the behavior asserted in test_generator for normal generator completion.","tests/test_pysnooper.py::test_generator explicitly asserts `original_tracer_active()` (i.e., sys.gettrace() is the original tracer) after each generator interaction, including after StopIteration. The generator_wrapper in pysnooper/tracer.py uses `with self:` around `method(incoming)` but does not handle GeneratorExit, so an early close bypasses the normal `__exit__` restoration path.",,0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,15272,532,3.351,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_3_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_3_fixed.log
exploratory,PySnooper:1,A,TARGET_ONLY,4,TEST,generated_tests/experiment2_run1/PySnooper_1/A_attempt_4.py,True,f085bd8732b998d568b98a03c1c91c0a19cdb700b2b571dc9e11a721a8ef9c32,SUPPORTED_ORACLE,,"When a generator function decorated with @pysnooper.snoop() is closed early via generator.close(), the tracer's __exit__ is not invoked, so sys.settrace is not restored to its original value.","Decorate a generator function with pysnooper.snoop(), start it with next(), then call generator.close() and check sys.gettrace().","sys.gettrace() remains set to the Tracer.trace method instead of the original trace function (None), leaking the trace function globally.","After generator.close(), sys.gettrace() should equal the original trace function captured before starting the generator.","pysnooper/tracer.py generator_wrapper uses `with self:` around each `method(incoming)` call; when the generator is closed, GeneratorExit is thrown at the yield point, which is outside the `with self:` block, so __exit__ is never called and sys.settrace is not restored. The existing test_generator only tests normal exhaustion via StopIteration, not early close.",,0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,15272,416,2.143,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_4_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_4_fixed.log
exploratory,PySnooper:1,A,TARGET_ONLY,5,TEST,generated_tests/experiment2_run1/PySnooper_1/A_attempt_5.py,True,46b285222e1be11fd0c052b4e4baf78aaa21c044c1e5e5410e6c7944c629f72a,SUPPORTED_ORACLE,,"When a function decorated with @pysnooper.snoop() is called recursively, the tracer's shared thread_global.depth counter is decremented on every 'return' event, including returns from frames that were not traced (e.g. the recursive call's inner frames), causing the indentation depth to become negative and producing malformed output for subsequent lines.","Decorate a recursive function with @pysnooper.snoop() and call it with a small depth, capturing stderr output.","The output indentation for lines after the recursive return may be negative (no indent) or inconsistent, and the depth counter may drift, producing incorrect indentation for the outer frame's remaining lines.",Each traced frame's lines should be indented consistently according to its call depth; the outer frame's lines after the recursive call should have the same indentation as before the recursive call (zero indent for the top-level frame).,"In tracer.py, thread_global.depth is incremented on 'call' events and decremented on 'return' events unconditionally, but the trace function returns None early for frames not in target_codes/target_frames, so those frames' 'return' events are not processed. However, for recursive calls of the same decorated function, the inner call's frame IS in target_codes, so its 'return' decrements depth. The outer frame's subsequent lines then use the decremented depth. The existing test_with_block and test_depth tests show expected indentation behavior but do not cover recursive calls of a decorated function.",,0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,15272,694,3.511,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_5_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/A_attempt_5_fixed.log
exploratory,PySnooper:1,B,NAIVE_RAW_HISTORY,1,TEST,generated_tests/experiment2_run1/PySnooper_1/B_attempt_1.py,True,437b3b01eda2c84857c5d8dbd83df88b3a52d8e86b781301b5dfa3162ebf7a9e,SUPPORTED_ORACLE,,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the same Tracer instance is reused across multiple with-blocks, the second __exit__ will raise an AttributeError because self.thread_local.original_trace_functions is not initialized on the main thread's thread_local object when __enter__ is called from a frame that _is_internal_frame considers internal.","Create a single Tracer via pysnooper.snoop(string_io), then use it in two sequential with-blocks in the same thread, calling a function inside each block.","The second with-block's __exit__ raises AttributeError: 'thread_local' object has no attribute 'original_trace_functions', or the trace function is not properly restored, causing incorrect output or a crash.","Using a single Tracer instance in multiple sequential with-blocks should work correctly: each block should trace its body, and after the second block exits, sys.gettrace() should be restored to its original value.","pysnooper/tracer.py __enter__ uses self.thread_local.__dict__.setdefault('original_trace_functions', []) and __exit__ uses self.thread_local.original_trace_functions; tests/test_pysnooper.py test_with_block reuses a single snoop instance across mixed uses, demonstrating that reuse is an intended supported pattern.","PySnooper:3 fix diff shows a bug where a wrong variable name (output_path) was used in get_write_function; this indicates the codebase has had variable-name/attribute bugs in tracer.py, supporting the plausibility of an attribute-access bug in the same module.",1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,no,WRONG_MECHANISM,0,1,19664,649,3.238,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_1_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_1_fixed.log
exploratory,PySnooper:1,B,NAIVE_RAW_HISTORY,2,TEST,generated_tests/experiment2_run1/PySnooper_1/B_attempt_2.py,True,5d673126a537874fabcf756eb78f3e129ce88d188cc64dee7714afd6d9d45fa5,SUPPORTED_ORACLE,,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the same Tracer instance is reused for multiple with-blocks, the second and subsequent with-blocks fail to trace because __exit__ pops the original trace function stack but __enter__ does not re-add the calling frame to target_frames correctly, or the frame_to_local_reprs state is not properly reset, causing missing trace output.","Create a single Tracer instance, use it in two sequential with-blocks in the same function, and verify that both blocks produce trace output.","The second with-block produces no trace output or incomplete output because the tracer's internal state (target_frames, frame_to_local_reprs) is not properly reset between uses.","Both with-blocks should produce trace output showing the lines executed within each block, as demonstrated by test_with_block which uses a single snoop instance across multiple with-blocks and decorated functions.","tests/test_pysnooper.py::test_with_block explicitly tests 'that a single Tracer can handle many mixed uses' with multiple with-blocks and decorated functions, expecting trace output from each usage. The Tracer.__enter__ and __exit__ methods manage target_frames and frame_to_local_reprs state.","PySnooper:3 fix diff shows a bug where 'output_path' was used instead of 'output' in get_write_function, causing file output to fail. This suggests state/variable handling bugs in the tracer are plausible. The regression test test_file_output verifies file output works correctly.",0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,19664,653,3.11,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_2_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_2_fixed.log
exploratory,PySnooper:1,B,NAIVE_RAW_HISTORY,3,TEST,generated_tests/experiment2_run1/PySnooper_1/B_attempt_3.py,True,522dc69686ccfd9a4824e19c63e17a3930efa566ae06b7badc7df71101c092c1,SUPPORTED_ORACLE,,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the same Tracer instance is reused across multiple with blocks, the second __enter__ call will fail with AttributeError because __exit__ pops the original_trace_functions stack and the thread_local attribute is not re-initialized.","Create a single Tracer via pysnooper.snoop(string_io), then use it in two sequential with blocks.",The second with block raises AttributeError: 'threading.local' object has no attribute 'original_trace_functions'.,"A single Tracer instance should be reusable across multiple with blocks, as demonstrated by test_with_block which reuses one snoop instance for multiple decorated functions and with blocks.","pysnooper/tracer.py __enter__ uses self.thread_local.__dict__.setdefault('original_trace_functions', []) and __exit__ uses self.thread_local.original_trace_functions. tests/test_pysnooper.py::test_with_block explicitly reuses a single snoop instance across multiple with blocks and decorated functions.",PySnooper:3 fix diff shows a similar bug where a variable name mismatch (output_path vs output) caused a runtime failure in the file-output path; this suggests the codebase has had attribute/name errors in Tracer-related paths.,0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,19664,550,3.08,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_3_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_3_fixed.log
exploratory,PySnooper:1,B,NAIVE_RAW_HISTORY,4,TEST,generated_tests/experiment2_run1/PySnooper_1/B_attempt_4.py,True,1333ef062e5fd3edda43c2b0c225ffe8783c47351bc263f7480f37940c030824,SUPPORTED_ORACLE,,"When pysnooper.snoop() is used as a context manager (with block) and the decorated/wrapped code raises an exception, the Tracer.__exit__ method fails to restore the original sys.gettrace() value because it pops from self.thread_local.original_trace_functions, but the trace function may have been overwritten by nested snoop usage or the stack may be empty, causing sys.gettrace() to remain set to the Tracer.trace method after the with block exits.","Use pysnooper.snoop() as a context manager around code that raises an exception, then check sys.gettrace() after the with block.","sys.gettrace() returns the Tracer.trace bound method instead of the original trace function (None) after the with block exits due to an exception, leaving tracing active and potentially causing performance issues or incorrect behavior in subsequent code.","After exiting a with pysnooper.snoop(): block, sys.gettrace() should be restored to its original value (None in a normal pytest run), regardless of whether an exception occurred inside the block.","In pysnooper/tracer.py, Tracer.__enter__ appends sys.gettrace() to self.thread_local.original_trace_functions and calls sys.settrace(self.trace). Tracer.__exit__ pops from self.thread_local.original_trace_functions and calls sys.settrace(stack.pop()). The test_generator test in tests/test_pysnooper.py checks that original_tracer_active() is True after generator operations, showing the intent to restore the original trace function. However, the __exit__ implementation assumes the stack is non-empty and correctly ordered, which may fail if an exception occurs or if nested usage corrupts the stack.","PySnooper:3 fix diff shows a bug where a variable name was wrong (output_path vs output) in get_write_function, indicating that file output and trace restoration logic are error-prone areas. The regression test test_file_output was added to verify file output works. This suggests that trace state management is a known fragile area.",0,0,PASS,PASS,,,,,P2P,False,no,SEMANTIC_NON_TRIGGER,0,1,19664,632,3.273,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_4_buggy.log,artifacts/execution_logs/experiment2_re_evaluated/exploratory/B_attempt_4_fixed.log
exploratory,PySnooper:1,B,NAIVE_RAW_HISTORY,5,MODEL_ERROR,,,,,,,,,,,,,,,,,,,,MODEL_ERROR,,no,TEST_NOT_EXECUTABLE,0,1,0,0,10.184,,
