iteration,mode,arm,stage,hypothesis_id,trigger_id,trigger_type,test_id,status,test_status,test_path,test_sha256,same_test,hypothesis_sha256,mechanism_match,oracle_status,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,planner_attempt_index,planner_attempt_status,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
3,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-1,PLAN,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,3.373,,,test output is empty or contains forbidden construction
3,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-2,PLAN,conditional-h01-e0c8bd3ab2-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h01-e0c8bd3ab2-plan-2.py,2b645f8ac9a9a9e794e50832dc2c018a79cc75a72edf93b30cb6eb48c1d3903c,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,15995,442,3.146,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-2_fixed.log,
3,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-3,PLAN,conditional-h01-e0c8bd3ab2-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h01-e0c8bd3ab2-plan-3.py,74d528b1a1852b8b03dbc20cb1f081c816243be0ac78baf5a455e661959383a0,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,15991,467,2.647,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-3_fixed.log,
3,conditional,C2,PLANNER,conditional-h01-e0c8bd3ab2,planner,PLAN,,VALID,NOT_EXECUTED,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16556,2196,8.131,,,
3,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-1,PLAN,conditional-h02-c19fcca1ca-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h02-c19fcca1ca-plan-1.py,da8fa1b460f621573f19fafa41c50943e9a026522e8108797ae44ebd963a28e1,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,15855,756,3.142,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h02-c19fcca1ca_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h02-c19fcca1ca_plan-1_fixed.log,
3,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-2,PLAN,conditional-h02-c19fcca1ca-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h02-c19fcca1ca-plan-2.py,01f9794f74e34d9fa02756f8aa4fdd8e349f4716140a6ef85bc60d26665c439c,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,15860,496,2.957,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h02-c19fcca1ca_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h02-c19fcca1ca_plan-2_fixed.log,
3,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-3,PLAN,conditional-h02-c19fcca1ca-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h02-c19fcca1ca-plan-3.py,134f511aed4a3f2a50e048ac44c75c58dd7a2e0d56f8020998b7c5f1d95c13f4,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,AssertionError,AssertionError,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,15874,789,3.311,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h02-c19fcca1ca_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h02-c19fcca1ca_plan-3_fixed.log,
3,conditional,C2,PLANNER,conditional-h02-c19fcca1ca,planner,PLAN,,VALID,NOT_EXECUTED,,,,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16506,2033,8.27,,,
3,conditional,C2,TEST,conditional-h03-768b90f0a5,plan-1,PLAN,conditional-h03-768b90f0a5-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h03-768b90f0a5-plan-1.py,7b830b4c63e3357b358ccbd3c1f352ad79ba0cf2be6f3786bf2be543c990cced,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,15969,663,2.968,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h03-768b90f0a5_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h03-768b90f0a5_plan-1_fixed.log,
3,conditional,C2,TEST,conditional-h03-768b90f0a5,plan-2,PLAN,conditional-h03-768b90f0a5-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h03-768b90f0a5-plan-2.py,5dec784a5fc76334befe8058351998f171fa53ef3f7dad88dd3b1ef59804642e,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,15974,579,3.663,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h03-768b90f0a5_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h03-768b90f0a5_plan-2_fixed.log,
3,conditional,C2,TEST,conditional-h03-768b90f0a5,plan-3,PLAN,conditional-h03-768b90f0a5-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h03-768b90f0a5-plan-3.py,38bf629a7bffb5cd2f3e905b4f846c655236c2e5371375ab5104731e9e736e86,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,15970,653,3.22,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h03-768b90f0a5_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h03-768b90f0a5_plan-3_fixed.log,
