iteration,mode,arm,stage,hypothesis_id,trigger_id,trigger_type,test_id,status,test_status,test_path,test_sha256,same_test,hypothesis_sha256,mechanism_match,oracle_status,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,planner_attempt_index,planner_attempt_status,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
3,conditional,C1_BUDGETED,TEST,conditional-h01-e0c8bd3ab2,direct,DIRECT,conditional-h01-e0c8bd3ab2-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h01-e0c8bd3ab2-direct.py,c11c93b4dccf03096ba5af3e89518b11d3edccf353a3ed1c275825d65e5f964a,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,575,588,2.721,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h01-e0c8bd3ab2_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h01-e0c8bd3ab2_direct_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h01-e0c8bd3ab2,direct-2,DIRECT,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,2.532,,,Unterminated string starting at: line 1 column 51 (char 50)
3,conditional,C1_BUDGETED,TEST,conditional-h01-e0c8bd3ab2,direct-3,DIRECT,conditional-h01-e0c8bd3ab2-direct-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h01-e0c8bd3ab2-direct-3.py,dff385c25ad851c9de912367e53b4e0f50e93d340f26cec9f0cbd18de7afa741,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,575,680,3.145,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h01-e0c8bd3ab2_direct-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h01-e0c8bd3ab2_direct-3_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h02-c19fcca1ca,direct,DIRECT,conditional-h02-c19fcca1ca-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h02-c19fcca1ca-direct.py,0b7bf10036f5a296eec593f65e1b461e19704682c0938ea877b6b44400815ef7,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,525,413,2.019,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h02-c19fcca1ca_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h02-c19fcca1ca_direct_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h02-c19fcca1ca,direct-2,DIRECT,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,2.382,,,test output is empty or contains forbidden construction
3,conditional,C1_BUDGETED,TEST,conditional-h02-c19fcca1ca,direct-3,DIRECT,conditional-h02-c19fcca1ca-direct-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h02-c19fcca1ca-direct-3.py,74bb61995c260b533fd5bb0ddf1fadfc23923f8ac4c5768c0216007807c91759,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,525,356,1.724,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h02-c19fcca1ca_direct-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h02-c19fcca1ca_direct-3_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h03-768b90f0a5,direct,DIRECT,conditional-h03-768b90f0a5-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h03-768b90f0a5-direct.py,cb8179e6c5df194d2216b810acd327dbf96a22415fd38c3335a5f722e3855c83,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,641,908,3.653,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h03-768b90f0a5_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h03-768b90f0a5_direct_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h03-768b90f0a5,direct-2,DIRECT,conditional-h03-768b90f0a5-direct-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h03-768b90f0a5-direct-2.py,2b6acea486f62716dad5be1a763827de5543ea5b1bca00433ca1173fb8899644,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,641,503,2.363,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h03-768b90f0a5_direct-2_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h03-768b90f0a5_direct-2_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h03-768b90f0a5,direct-3,DIRECT,conditional-h03-768b90f0a5-direct-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h03-768b90f0a5-direct-3.py,7a831429243e76f1c30d3507be88367230bb14e93427bef572b998aaad084f9d,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,641,665,2.731,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h03-768b90f0a5_direct-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h03-768b90f0a5_direct-3_fixed.log,
3,conditional,C1_BUDGETED,TEST,conditional-h04-a9ae48b9d8,direct,DIRECT,conditional-h04-a9ae48b9d8-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1_BUDGETED/conditional-h04-a9ae48b9d8-direct.py,4e402a3ffac69aafc72fb3e885a8b8394b4ce7bd72b5817549cfc420297ce08f,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,605,751,3.206,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h04-a9ae48b9d8_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_BUDGETED_conditional-h04-a9ae48b9d8_direct_fixed.log,
