experiment,target_id,condition,condition_name,attempt,status,test_path,applicability,buggy_exit,fixed_exit,buggy_class,fixed_class,outcome,meaningful_buggy_failure,hypothesis_matches_true_failure_mechanism,oracle_supported_by_target_evidence,hypothesis,trigger,potential_failure,expected_behavior,target_evidence,historical_evidence,repair_attempts,llm_requests,prompt_tokens,completion_tokens,latency_seconds,wall_clock_seconds,buggy_log,fixed_log,failure_layer
experiment2_transfer_feasibility,PySnooper:1,A,TARGET_ONLY,1,TEST,generated_tests/experiment2/PySnooper_1/A_attempt_1.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a function decorated with @pysnooper.snoop() is called from a thread other than the one that created the Tracer, the trace function raises AttributeError because thread_global.depth is not initialized in the new thread.","Create a Tracer instance in the main thread, then call the decorated function from a new thread.","The trace function accesses thread_global.depth without initialization in the new thread, causing an AttributeError that propagates and prevents the decorated function from executing correctly.",The decorated function should execute successfully in the new thread and return the expected result without raising an exception.,"In pysnooper/tracer.py, the trace method uses thread_global.depth without initializing it for new threads. The line 'thread_global.__dict__.setdefault('depth', -1)' only sets the default if the attribute is missing, but then immediately increments it with 'thread_global.depth += 1'. In a new thread, thread_global is a fresh threading.local() instance, so depth is not set, leading to AttributeError when accessed.",,0,1,15319,498,2.591,2.595,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_1_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_1_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,A,TARGET_ONLY,2,TEST,generated_tests/experiment2/PySnooper_1/A_attempt_2.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a generator function decorated with @pysnooper.snoop() is closed early via GeneratorExit (e.g., generator.close() or breaking out of a for loop), the tracer's generator_wrapper does not restore the previous sys.gettrace() value, leaving PySnooper's trace function installed globally after the generator is closed.","Decorate a generator function with @pysnooper.snoop(io.StringIO()), create the generator, advance it once with next(), then call generator.close() and assert sys.gettrace() is the original trace function (None).","sys.gettrace() remains pysnooper's Tracer.trace bound method after generator.close(), because the GeneratorExit raised inside the generator propagates out of the 'with self:' block in generator_wrapper without the wrapper catching it, and __exit__ may not run or the trace function is not restored.","After closing a snooped generator, sys.gettrace() should equal the trace function that was active before the generator was created (None in a normal pytest run), matching the invariant asserted in the existing test_generator test that the original tracer is active after generator operations.","tests/test_pysnooper.py::test_generator defines original_tracer = sys.gettrace() and asserts original_tracer_active() after next(), send(), and the final StopIteration; pysnooper/tracer.py generator_wrapper uses 'with self:' around method(incoming) and Tracer.__exit__ restores sys.settrace(stack.pop()), but GeneratorExit from close() is not handled like StopIteration.",,0,2,15319,617,3.026,3.028,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_2_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_2_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,A,TARGET_ONLY,3,TEST,generated_tests/experiment2/PySnooper_1/A_attempt_3.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a Tracer is used as a context manager inside a generator function, the generator wrapper's `with self:` block exits and restores the trace function before the generator yields, so the generator's own frame is not traced during the yield/resume boundary; the output should still contain the generator function's call/line/return entries.","Decorate a generator function with `@pysnooper.snoop(string_io)` and iterate it to completion, then inspect the captured output for the generator function's `call`, `line`, and `return` entries.","The generator wrapper may fail to trace the generator function's own frame, producing missing or malformed call/line/return entries for the generator body.","The captured output for a decorated generator function should include the generator function's call entry, line entries for its body, and a return entry, analogous to the ordinary `test_generator` test.","`pysnooper/tracer.py` defines `generator_wrapper` which wraps each `gen.send`/`gen.throw` call in `with self:`; `Tracer.__enter__` sets `calling_frame.f_trace = self.trace` and `sys.settrace(self.trace)`, while `__exit__` restores the previous trace function. The ordinary test `tests/test_pysnooper.py::test_generator` asserts that generator functions decorated with `@pysnooper.snoop(string_io)` produce call/line/return output.",,0,3,15319,590,3.075,3.081,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_3_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_3_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,A,TARGET_ONLY,4,TEST,generated_tests/experiment2/PySnooper_1/A_attempt_4.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a generator function decorated with @pysnooper.snoop() is closed early (via .close() or garbage collection) before exhaustion, the generator_wrapper's `with self:` block is exited by GeneratorExit and the wrapper's `while True` loop does not catch it, so the tracer's `__exit__` runs and restores the previous trace function; however, the `thread_global.depth` counter is not decremented for the generator frame because no 'return' event is delivered for the abandoned frame, leaving the global depth counter permanently inflated and corrupting indentation of all subsequent snooped output.","Decorate a generator with @pysnooper.snoop(string_io), advance it one step with next(), then call generator.close() to abandon it, then run a second snooped function and inspect the indentation of its output lines.","After closing an unfinished snooped generator, subsequent snooped calls emit lines with extra leading indentation (depth counter stuck at a positive value) instead of the expected zero-indent output.","After a snooped generator is closed early, a subsequent snooped function's output lines should start at column 0 (no leading spaces), matching the normal output format shown in the README and ordinary tests such as test_string_io.","pysnooper/tracer.py: `thread_global.depth` is incremented on 'call' events and decremented only on 'return' events; `generator_wrapper` wraps each `method(incoming)` call in `with self:` and does not handle GeneratorExit, so an abandoned generator frame never produces a 'return' event to decrement depth. README and tests/test_pysnooper.py (test_string_io, test_generator) document that normal snooped output lines begin at column 0 with no indentation.",,0,4,15319,723,3.544,3.546,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_4_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_4_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,A,TARGET_ONLY,5,TEST,generated_tests/experiment2/PySnooper_1/A_attempt_5.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a generator function decorated with @pysnooper.snoop() is garbage-collected before being fully exhausted, the generator_wrapper's `with self:` block is never exited, so the original sys trace function is not restored and the Tracer's target_frames/frame_to_local_reprs state is left inconsistent.","Decorate a generator function with pysnooper.snoop(), create the generator, advance it once with next(), then delete the generator and force garbage collection. Check sys.gettrace() afterwards.","sys.gettrace() remains set to the Tracer.trace bound method instead of the original trace function (None), because generator_wrapper only exits its `with self` context when the generator is resumed or closed, not when it is garbage-collected.","After a snooped generator is garbage-collected without being exhausted, sys.gettrace() should be restored to the original trace function (None in a normal pytest run), matching the invariant asserted in test_generator for normal generator completion.","pysnooper/tracer.py generator_wrapper uses `with self:` around each `method(incoming)` call; Tracer.__enter__ calls sys.settrace(self.trace) and __exit__ restores the previous trace. tests/test_pysnooper.py::test_generator asserts `original_tracer_active()` after each generator interaction, establishing that the trace function must be restored when the generator is not actively executing.",,0,5,15319,579,3.098,3.1,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_5_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/A_attempt_5_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,B,NAIVE_RAW_HISTORY,1,TEST,generated_tests/experiment2/PySnooper_1/B_attempt_1.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the wrapped block raises an exception, the Tracer's __exit__ does not restore the previous sys.gettrace() value, leaving the tracer's trace function installed globally after the with block exits.","Create a Tracer with a StringIO output, enter it via 'with', raise a ValueError inside the block, catch it outside, then check sys.gettrace() is the original trace function (None).","sys.gettrace() remains the Tracer.trace bound method instead of the original trace function, so tracing leaks beyond the with block.","After a 'with pysnooper.snoop(...):' block exits (even via an exception), sys.gettrace() must equal the trace function that was active before entering the block (normally None).","pysnooper/tracer.py __enter__ appends sys.gettrace() to self.thread_local.original_trace_functions and calls sys.settrace(self.trace); __exit__ pops and calls sys.settrace(stack.pop()). The ordinary test test_generator explicitly asserts original_tracer_active() after generator operations, showing the intended invariant that the original trace function is restored. The __exit__ implementation relies on self.thread_local.original_trace_functions being present, which is only guaranteed if __enter__ completed normally.","PySnooper:3 fix diff shows a similar state-management bug in get_write_function where a closure variable (output_path) was used instead of the parameter (output), causing incorrect behavior; this supports probing Tracer state handling for similar defects.",0,6,19711,552,2.97,2.972,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_1_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_1_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,B,NAIVE_RAW_HISTORY,2,TEST,generated_tests/experiment2/PySnooper_1/B_attempt_2.py,,0,0,PASS,PASS,P2P,False,no,yes,"The `overwrite=True` option of `pysnooper.snoop` does not truncate the output file on the first write; instead, because `FileWriter.write` opens the file with mode 'a' (append) and only sets `self.overwrite = False` after writing, the first write appends to the existing file content rather than overwriting it, so pre-existing content remains in the log file.","Create a temporary file containing the text 'lala', decorate a function with `@pysnooper.snoop(str(path), overwrite=True)`, call the function, then read the file and assert that the pre-existing 'lala' content is gone.","The file still starts with 'lala' (or contains it), meaning `overwrite=True` failed to truncate the file on the first write.","When `overwrite=True` is passed to `pysnooper.snoop` with a file path, the first write should open the file in 'w' mode, truncating any existing content, so the resulting log file must not contain the pre-existing text.","In `pysnooper/tracer.py`, `FileWriter.write` is defined as `with open(self.path, 'w' if self.overwrite else 'a') as output_file: output_file.write(s); self.overwrite = False`. The intent is clearly that the first write uses 'w' (truncate) and subsequent writes use 'a' (append). The ordinary test `test_overwrite` in `tests/test_pysnooper.py` asserts `'lala' not in output` after calling the decorated function twice with `overwrite=True`, confirming the intended behavior.","The PySnooper:3 historical bug report and fix diff show a related file-output bug where `open(output_path, 'a')` used an undefined variable instead of `open(output, 'a')`, and the regression test `test_file_output` was added. This historical evidence points to the file-output path being fragile and worth probing, but the specific overwrite/truncation invariant is established by the target source and the ordinary `test_overwrite` test.",0,7,19711,764,3.558,3.561,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_2_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_2_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,B,NAIVE_RAW_HISTORY,3,MODEL_ERROR,,,,,,,MODEL_ERROR,False,no,no,,,,,,,0,8,0,0,9.709,9.709,,,TEST_GENERATION
experiment2_transfer_feasibility,PySnooper:1,B,NAIVE_RAW_HISTORY,4,TEST,generated_tests/experiment2/PySnooper_1/B_attempt_4.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the wrapped block raises an exception, the tracer's __exit__ does not restore the previous sys.settrace value, leaving the global trace function set to the Tracer.trace method after the with block exits.","Create a Tracer via pysnooper.snoop(), enter it with a with statement, raise an exception inside the block, catch it outside, then check sys.gettrace() is None (or the original trace function).","sys.gettrace() remains the Tracer.trace bound method instead of being restored to the original trace function (None), because __exit__ fails to pop the saved trace function when an exception propagates.","After a with pysnooper.snoop(): block exits (even via an exception), sys.gettrace() should be restored to its previous value (None in a normal test environment).","pysnooper/tracer.py Tracer.__enter__ pushes sys.gettrace() onto self.thread_local.original_trace_functions and calls sys.settrace(self.trace). Tracer.__exit__ is supposed to pop and restore via sys.settrace(stack.pop()). The ordinary test test_generator asserts original_tracer_active() after generator use, showing the intended invariant that the original trace function is restored.","PySnooper:3 fix diff shows a similar bug where a variable (output_path) was referenced but not defined in the write function, causing a NameError when writing to a file. This suggests the codebase has had issues with state/variable handling in the tracer's write path.",0,9,19711,552,3.45,3.451,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_4_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_4_fixed.log,HYPOTHESIS
experiment2_transfer_feasibility,PySnooper:1,B,NAIVE_RAW_HISTORY,5,TEST,generated_tests/experiment2/PySnooper_1/B_attempt_5.py,,0,0,PASS,PASS,P2P,False,no,yes,"When a Tracer is used as a context manager (with pysnooper.snoop(...):) and the wrapped block raises an exception, the Tracer's __exit__ does not restore the previous sys.settrace value, leaving the tracer's trace function installed globally after the with block exits.","Use `with pysnooper.snoop(string_io):` around a block that raises ValueError, catch the exception, then check `sys.gettrace()`.","After the with block exits due to an exception, sys.gettrace() still returns the Tracer.trace bound method instead of the original trace function (None), because __exit__ fails to pop the saved trace function when an exception propagates.","After a `with pysnooper.snoop(...):` block exits (whether normally or via an exception), `sys.gettrace()` must be restored to the value it had before entering the block.","pysnooper/tracer.py __enter__ pushes sys.gettrace() onto self.thread_local.original_trace_functions and calls sys.settrace(self.trace); __exit__ is documented/expected to restore it via sys.settrace(stack.pop()). The ordinary test test_generator explicitly asserts `original_tracer_active()` after generator operations, showing the intended invariant that the original trace function is restored.",PySnooper:3 fix diff shows a similar state-restoration bug in get_write_function where a wrong variable name (output_path vs output) broke file output; the regression test test_file_output verifies the intended behavior. This suggests state/cleanup correctness is a plausible bug area in this codebase.,0,10,19711,551,2.817,2.819,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_5_buggy.log,artifacts/execution_logs/experiment2_PySnooper_1/B_attempt_5_fixed.log,HYPOTHESIS
