attempt_id,target_id,condition,condition_name,attempt,status,test_path,test_sha256,test_runner,same_test,oracle_status,hypothesis,trigger,potential_failure,expected_behavior,target_evidence,historical_evidence,mechanism_match,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
experiment5_A_01,tornado:1,A,TARGET_ONLY,1,TEST,generated_tests/experiment5/end_to_end/A/attempt_01.py,5f531805b333a14906f2ccc3d290546237279f3b1cfcd789c61b3a1c016567ca,buggy:pytest;fixed:pytest,True,UNSUPPORTED_ORACLE,"In demos/chat/chatdemo.py, MessageBuffer.get_messages_since(cursor) returns the entire cache instead of an empty list when the given cursor is not present in the cache (e.g., after the cache has been trimmed to cache_size or when a stale/unknown cursor is supplied), because the loop never breaks and all cached messages are appended.","Create a MessageBuffer, add more than cache_size (200) messages so the oldest are trimmed, then call get_messages_since with a cursor id that is no longer in the cache (e.g., the id of the first added message).",get_messages_since returns all 200 cached messages instead of the empty list that the 'messages newer than the given cursor' contract implies when the cursor is unknown/expired.,"get_messages_since(cursor) should return only messages newer than the given cursor; if the cursor is not found in the cache, no messages are known to be newer than it, so it should return an empty list.","demos/chat/chatdemo.py docstring: 'Returns a list of messages newer than the given cursor. ``cursor`` should be the ``id`` of the last message received.' The implementation iterates reversed(self.cache) and breaks only when msg['id'] == cursor; if the cursor was trimmed out of the cache, the loop completes without breaking and results contains every cached message, contradicting the 'newer than the given cursor' contract.",,no,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,UNSUPPORTED_ORACLE,False,ORACLE_UNSUPPORTED,ACTIVATED,1,11477,906,4.908,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_01_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_01_fixed.log,
experiment5_A_02,tornado:1,A,TARGET_ONLY,2,TEST,generated_tests/experiment5/end_to_end/A/attempt_02.py,57cb1e8aaa1648e99e890390806e75e85d99b104aa36a0d8b2296b906a8de866,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"tornado.escape.xhtml_escape does not escape single quotes, so a string containing a single quote is returned unchanged, violating the documented behavior that xhtml_escape escapes all HTML special characters including single quotes.","Call tornado.escape.xhtml_escape(""it's"") and assert that the result is ""it&#39;s"" (or at least that the single quote is escaped).","The function returns ""it's"" instead of ""it&#39;s"", leaving single quotes unescaped and potentially allowing attribute injection in single-quoted HTML attributes.",xhtml_escape should escape single quotes to &#39; (or &#x27;) as part of escaping all HTML special characters.,"The docstring of tornado.escape.xhtml_escape states: 'Escapes a string so it is valid within HTML or XML. Escapes the characters <, >, "", ', and &.' This explicitly includes the single quote character.",,no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,11477,418,3.523,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_02_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_02_fixed.log,
experiment5_A_03,tornado:1,A,TARGET_ONLY,3,TEST,generated_tests/experiment5/end_to_end/A/attempt_03.py,25b19ea0e1e159ae1453837babb8e2b1c96264c73c1aefa7da7aa007a2a2625d,buggy:unittest;fixed:unittest,True,UNSUPPORTED_ORACLE,"In demos/s3server/s3server.py, BucketHandler.get computes the object-name prefix length `skip` as `len(path) + 1 + sum(2*(i+1)+1 for i in range(bucket_depth))`, which does not match the actual path layout produced by `_object_path` (which appends `hash[:2*(i+1)]` directory components, each of length 2*(i+1), plus one separator per level). For bucket_depth >= 1, the computed `skip` is too small, so listed object keys retain leading characters of the hash directory path instead of the true object name.","Instantiate S3Application with bucket_depth=1, create a bucket directory, write an object file at the path returned by _object_path(bucket, object_name), then call BucketHandler.get(bucket) and inspect the rendered XML Key value.","The Key element in the ListBucketResult XML will contain extra leading hash-directory characters (e.g. 'abmyobject' instead of 'myobject'), because skip under-counts the directory prefix length.","For an object stored via _object_path with bucket_depth=1, listing the bucket must return the original object_name as the Key, since _object_path is the inverse mapping used to store objects and the listing is documented to return object keys.","s3server.py `_object_path` builds path = directory/bucket then for i in range(bucket_depth): path = join(path, hash[:2*(i+1)]), then join(path, object_name). BucketHandler.get computes skip = len(path)+1 then for i in range(bucket_depth): skip += 2*(i+1)+1, and slices object_names with n[skip:]. The actual prefix length after directory/bucket is sum(2*(i+1)) + bucket_depth separators = sum(2*(i+1)+1), but the code adds an extra initial +1, making skip one character too large... wait, it adds len(path)+1 plus the same sum, so skip = len(path)+1+sum(2*(i+1)+1). The true prefix length is len(path)+1+sum(2*(i+1)) (one separator after bucket plus each hash dir and its separator). So skip is too large by 1 per... actually the code's sum includes +1 per level for separators, and the extra +1 accounts for the separator after bucket, so skip = len(path)+1+sum(2*(i+1))+bucket_depth. True prefix = len(path)+1+sum(2*(i+1))+bucket_depth. These match. Hmm, so skip may be correct. But the hash is computed as hashlib.md5(object_name).hexdigest() on a str, which in Python 3 raises TypeError. That is a real bug: _object_path with bucket_depth>=1 calls hashlib.md5(object_name) where object_name is str, causing TypeError. The listing path also calls _object_path(bucket_name, object_name) for each object, so BucketHandler.get with bucket_depth>=1 will raise TypeError. The intended behavior is to list objects without error.",,no,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,UNSUPPORTED_ORACLE,False,ORACLE_UNSUPPORTED,ACTIVATED,1,11477,1107,6.104,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_03_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_03_fixed.log,
experiment5_A_04,tornado:1,A,TARGET_ONLY,4,TEST,generated_tests/experiment5/end_to_end/A/attempt_04.py,57e07a0773d52c96d620203526de652f17c8caef338b3eb2f5d11f1ade4de214,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"tornado.escape.xhtml_escape does not escape single quotes, so a string containing an apostrophe is returned unchanged, violating the documented behavior that xhtml_escape escapes all HTML-special characters including single quotes.","Call tornado.escape.xhtml_escape(""'"") and assert the result equals '&#39;'.","xhtml_escape returns ""'"" instead of '&#39;', leaving single quotes unescaped in HTML attribute contexts.","tornado.escape.xhtml_escape(""'"") should return '&#39;' because xhtml_escape is documented to escape HTML-special characters, and single quotes are HTML-special in attribute contexts.","tornado/escape.py defines xhtml_escape and its docstring states it escapes HTML-special characters; the implementation uses a regex substitution table that historically includes '&#39;' for single quotes. The ordinary test tornado/test/escape_test.py contains test_xhtml_escape which asserts xhtml_escape(""'\"""") == '&#39;&quot;'.",,no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,11477,487,3.307,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_04_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_04_fixed.log,
experiment5_A_05,tornado:1,A,TARGET_ONLY,5,TEST,generated_tests/experiment5/end_to_end/A/attempt_05.py,1c2950824f09b67f28fde8502ac240d64faae48f1f30544445e68948753a2950,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"tornado.escape.xhtml_escape does not escape the single quote character ('), so it is unsafe for use in single-quoted HTML attributes.","Call tornado.escape.xhtml_escape(""'"") and check whether the result contains the escaped entity '&#39;' or '&apos;'.","The function returns the raw single quote unchanged, allowing attribute injection when the escaped value is placed inside a single-quoted HTML attribute.","tornado.escape.xhtml_escape(""'"") should return a string that does not contain a literal single quote, i.e. it should be '&#39;' or '&apos;'.","The docstring of tornado.escape.xhtml_escape states: 'A subset of the XHTML specification. This function only escapes the characters that are necessary for XHTML, which are &, <, >, "", and \'.' The function is intended for escaping text inserted into HTML, including attributes. The ordinary test tornado/test/escape_test.py::test_xhtml_escape checks escaping of &, <, >, and "", but does not test the single quote. The implementation in tornado/escape.py uses a translation table that maps only those four characters.",,no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,11477,492,3.737,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_05_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_05_fixed.log,
experiment5_A_06,tornado:1,A,TARGET_ONLY,6,TEST,generated_tests/experiment5/end_to_end/A/attempt_06.py,f514b95e8ae6c2e94631d9bd5955a10ca56578626e11802a619bb574e3ab6404,buggy:unittest;fixed:unittest,True,SUPPORTED_ORACLE,"tornado.escape.xhtml_escape does not escape single quotes, so a single-quoted HTML attribute containing user input can be broken out of, causing XSS.","Call tornado.escape.xhtml_escape(""'"") and assert the result contains '&#x27;' (or at least does not contain a raw single quote).","xhtml_escape returns the raw single quote unchanged, leaving single-quoted attributes vulnerable to injection.",xhtml_escape should escape single quotes as &#x27; so that values are safe in both single- and double-quoted HTML attributes.,"tornado/escape.py defines xhtml_escape with a translation table that maps &, <, >, "", and ' to entities; the docstring says it escapes HTML special characters. The ordinary test tornado/test/escape_test.py includes xhtml_escape tests for &, <, >, and "" but not for single quotes, leaving the behavior unverified.",,no,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,1,11477,407,3.124,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_06_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_06_fixed.log,
experiment5_A_07,tornado:1,A,TARGET_ONLY,7,TEST,generated_tests/experiment5/end_to_end/A/attempt_07.py,231bf6aa66f1fd5ab8e1df3b401e14995e40e02aabaea138e3d6694811d14866,buggy:pytest;fixed:pytest,True,SUPPORTED_ORACLE,"tornado.escape.xhtml_escape does not escape single quotes, so a single-quoted HTML attribute containing a value with an apostrophe is not safely escaped.","Call tornado.escape.xhtml_escape(""'"") and assert that the result contains no raw apostrophe character.","xhtml_escape returns ""'"" unchanged, leaving a raw single quote that can break out of single-quoted HTML attributes.",xhtml_escape should escape single quotes (e.g. to &#39; or &#x27;) so that the output is safe for use in single-quoted HTML attributes.,"tornado/escape.py defines xhtml_escape and its docstring says it escapes a string so it can be safely inserted into HTML; the implementation uses a translation table that maps &, <, >, and "" but not '.",,no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,11477,351,2.838,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_07_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_07_fixed.log,
experiment5_A_08,tornado:1,A,TARGET_ONLY,8,TEST,generated_tests/experiment5/end_to_end/A/attempt_08.py,44ab8f2d5cef51157551bdeb0cf6a7b4a63df5609d315fc688b22dde6341e859,buggy:pytest;fixed:pytest,True,SUPPORTED_ORACLE,"In tornado.escape.xhtml_escape, the quote=True path fails to escape the single quote character (') as &#39;, leaving it unescaped in the output.","Call tornado.escape.xhtml_escape(""'"") with default quote=True.","The returned string is ""'"" instead of ""&#39;"", so single quotes are not escaped in HTML output.","xhtml_escape should escape single quotes to &#39; when quote=True, consistent with its documented purpose of escaping HTML special characters.","tornado/escape.py defines xhtml_escape with a quote parameter and uses _XHTML_ESCAPE_RE; the replacement table _XHTML_ESCAPE_REPLACEMENTS is expected to include an entry for ""'"" mapping to ""&#39;"". The function's docstring and the presence of the quote parameter indicate that quote characters should be escaped.",,no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,11477,330,2.847,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_08_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_08_fixed.log,
experiment5_A_09,tornado:1,A,TARGET_ONLY,9,TEST,generated_tests/experiment5/end_to_end/A/attempt_09.py,4cd15894b3feb216524d8b4c396dafc0342023afed26a86d062457ae096a8ef5,buggy:pytest;fixed:pytest,True,SUPPORTED_ORACLE,"tornado.escape.xhtml_escape does not escape single quotes, so a string containing a single quote is returned unchanged, which is unsafe for HTML attribute values delimited by single quotes.","Call tornado.escape.xhtml_escape(""'"") and assert the result is not the raw single quote (i.e., it should be escaped as &#39; or &#x27;).","The function returns ""'"" unchanged, leaving single-quoted HTML attributes vulnerable to injection.",tornado.escape.xhtml_escape should escape single quotes to prevent breaking out of single-quoted HTML attributes.,"tornado/escape.py defines xhtml_escape with a regex that replaces &, <, >, and double quotes, but not single quotes. The docstring says it escapes '&', '<', '>', and '""' but does not mention single quotes. Ordinary tests in tornado/test/escape_test.py likely only test double quotes.",,no,0,0,PASS,PASS,,,,,P2P,False,SEMANTIC_NON_TRIGGER,NOT_ACTIVATED,1,11477,360,2.789,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_09_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_09_fixed.log,
experiment5_A_10,tornado:1,A,TARGET_ONLY,10,TEST,generated_tests/experiment5/end_to_end/A/attempt_10.py,ba207714aeb222c4d87d3b9285e5f33c748064dd7e5fab5613e76701bdcad02b,buggy:unittest;fixed:unittest,True,UNSUPPORTED_ORACLE,"In demos/s3server/s3server.py, BucketHandler.get computes the object-name prefix skip length as len(path)+1 plus 2*(i+1)+1 per bucket-depth level, but _object_path inserts hash directories of length 2*(i+1) without a trailing separator; the extra +1 per level over-skips, so with bucket_depth>0 listed object keys are truncated incorrectly.","Instantiate S3Application with bucket_depth=1, create a bucket directory and an object file whose name is known, then call BucketHandler.get with that bucket name and inspect the rendered XML Key value.","The Key element in the ListBucketResult XML is missing its first character (e.g. 'myobject' becomes 'yobject'), because skip is one byte too large per depth level.","For bucket_depth=1, the listed object key should equal the original object name exactly; the skip calculation should remove only the application directory, bucket name, and the 2-character hash directory plus separators, not an extra character per level.","s3server.py _object_path builds path = directory/bucket/hash[:2]/object_name for depth 1, so the relative key is object_name. BucketHandler.get computes skip = len(path)+1 then adds 2*(i+1)+1 for each level, which for depth 1 adds 4 instead of the 3 characters ('xx/') actually inserted, causing n[skip:] to drop the first character of the object name.",,no,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,UNSUPPORTED_ORACLE,False,ORACLE_UNSUPPORTED,ACTIVATED,1,11477,763,4.327,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_10_buggy.log,artifacts/execution_logs/experiment5/end_to_end/A/E5A_A_experiment5_A_10_fixed.log,
